numero,Vastaaja,Yliopisto/tutkimuslaitos,Vastaus,Varmuus,Kommentti,Profiili ja vastaukset
11,Jaakko Kiander,,Samaa mieltä,8,Työllistämistuet ovat joissain tapauksissa tarpeen,Profiili ja vastaukset
11,Juha Kilponen,,Samaa mieltä,6,,Profiili ja vastaukset
11,Iikka Korhonen,Suomen Pankki,Samaa mieltä,5,,Profiili ja vastaukset
11,Pekka J. Korhonen,,Epävarma,NA,,Profiili ja vastaukset
11,Mika Kortelainen,Valtion taloudellinen tutkimuskeskus,Samaa mieltä,6,,Profiili ja vastaukset
11,Tuomas Kosonen,Palkansaajien tutkimuslaitos,Epävarma,9,"Kysymyksen vastaus riippuu empiirisesti palkkatuen kohtaannosta ja muusta yrityksen käyttäytymisestä. Periaatteessa palkkatuki voi lisätä palkkatuen kohteena olevien työllisyyttä, mutta sen “pätevyys“ riippuu erittäin paljon siitä kuinka paljon palkkatuki maksaa julkiselle sektorille ja kuinka paljon se työllisti sellaisia jotka eivät olisi muutenkin saaneet töitä. Emme tiedä vastauksia näihin kaikkiin empiirisiin kysymyksiin tutkimuksesta, joten en näe muuta vaihtoehtoa kuin olla epävarma.Näytä lisääNäytä vähemmän",Profiili ja vastaukset
11,Kaisa Kotakorpi,VATT; Turun yliopisto,Samaa mieltä,NA,Vaikutukset toteutuksesta riippuen todennäköisesti pieniä.,Profiili ja vastaukset
11,Markku Kotilainen,Elinkeinoelämän tutkimuslaitos - Etla,Samaa mieltä,8,Matalapalkkatukea on kuitenkin käytettävä järkevästi ja rajatusti.,Profiili ja vastaukset
11,Klaus Kultti,helsingin yliopisto,Epävarma,10,,Profiili ja vastaukset
11,Timo Kuosmanen,Aalto yliopiston kauppakorkeakoulu,Samaa mieltä,7,,Profiili ja vastaukset
11,Tomi Kyyrä,Valtion taloudellinen tutkimuskeskus,Samaa mieltä,8,,Profiili ja vastaukset
11,Marita Laukkanen,Valtion taloudellinen tutkimuskeskus,Ei mielipidettä,9,,Profiili ja vastaukset
11,Mika Maliranta,Etla / Jyväskylän yliopisto,Samaa mieltä,5,,Profiili ja vastaukset
11,Topi Miettinen,Svenska Handelshögskolan,Eri mieltä,6,"Nykyisen kaltaisessa palkkatuessa on kokemukseni perusteella liian paljon portaisuutta: diskreettejä määräaikoja ja palkkakattoja, jotka johtavat kannustinongelmiin, kun päätetään halutaanko palkkatuella oleva henkilö palkata pysyvään työsuhteeseen. Palkkaa tulisi voida nostaa sitä mukaa, kun työn tekijä ja työn antaja oppivat yhteistyönsä arvosta enemmän ja enemmän, Tuki ei tietysti saa myöskään päättyä kuin seinään vain sen tulisi vähitellen vähetä. Palkkatukea järkeistämällä ja vaihtoehtoisia malleja kokeilemalla (perustulon tapaan) olisi saavutettavissa huomattavasti parempia tuloksia.Näytä lisääNäytä vähemmän",Profiili ja vastaukset
11,Niku Määttänen,Etla,Samaa mieltä,6,,Profiili ja vastaukset
11,Katariina Nilsson Hakkala,Aalto yliopisto/ ETLA,Samaa mieltä,NA,,Profiili ja vastaukset
11,Elias Oikarinen,Aalto-yliopisto,Samaa mieltä,6,,Profiili ja vastaukset
11,Tapio Palokangas,Helsingin yliopisto,Samaa mieltä,NA,Palkkatuen täytyy kuitenkin olla määräaikainen ja perustua työn oppimiseen.,Profiili ja vastaukset
11,Tuomas Pekkarinen,VATT,Samaa mieltä,NA,,Profiili ja vastaukset
11,Hannu Piekkola,Vaasan yliopisto,Samaa mieltä,8,Tietenkin tama on osin vaihtoehto negatiiviselle tuloverolle. Jossain tapauksissa matalapalkkatuki on halpa keino ylläpitää työllisyyttä.,Profiili ja vastaukset
11,Jukka Pirttilä,Tampereen yliopisto,Samaa mieltä,4,"Työn verokiila vaikuttaa jonkin verran, vaikkakaan ei ratkaisevan paljon työllisyyteen. Työnantajien matalapalkkatuki ei ole tiettävästi toiminut, mutta nyt näytettiin kysyvän työntekijälle menevää (EITC?)",Profiili ja vastaukset
11,Matti Pohjola,Aalto-yliopisto kauppakorkeakoulu,Samaa mieltä,8,,Profiili ja vastaukset
11,Petri Rouvinen,"ETLA, Elinkeinoelämän tutkimuslaitos",Samaa mieltä,8,Työ on edelleen pääasiallinen tapa integroitua suomalaiseen yhteiskuntaan ja nauttia arvostusta muiden silmissä. Niinpä työn tekemisellä on itseisarvoista merkitystä ja siten erityisryhmien työllistymistä kannattaa tukea.,Profiili ja vastaukset
11,Olli-Pekka Ruuskanen,Pellervon taloustutkimus,Samaa mieltä,4,,Profiili ja vastaukset
11,Hannu Salonen,Turun yliopisto,Epävarma,6,Ehkä heikon osaamisen ja matalan tuottavuuden työntekijöiden kysyntä lisääntyisi. Heikentäisikö se samalla korkean osaamisen ja tuottavuuden kilpailukykyä työmarkkinoilla?,Profiili ja vastaukset
11,Rune Stenbacka,Svenska handelshögskolan,Samaa mieltä,6,,Profiili ja vastaukset
11,Olli Tahvonen,Helsingin yliopisto,Ei vastannut,NA,,Profiili ja vastaukset
11,Juha Tervala,Helsingin yliopisto,Ei mielipidettä,5,,Profiili ja vastaukset
11,Marko Terviö,Aalto-yliopisto,Samaa mieltä,7,,Profiili ja vastaukset
11,Roope Uusitalo,Jyväskylän yliopiston kauppakorkeakoulu,Samaa mieltä,8,Nykyinen palkkatuki tai työmarkkinatuki työnantajalle toimii samaan tapaan.,Profiili ja vastaukset
11,Jari Vainiomäki,Tampereen yliopisto,Eri mieltä,9,Vain hyvin rajatusti erityisryhmille kohdennettuna. Yleisemmin tukiin liittyy ongelmia. Voivat valua palkkoihin ja syrjäyttävät muita työntekijöitä.,Profiili ja vastaukset
11,Hannu Vartiainen,Helsingin yliopisto,Samaa mieltä,NA,,Profiili ja vastaukset
11,Vesa Vihriälä,Etla,Samaa mieltä,7,"Työnantajalle suuntautuva tuki on siinä mielessä hyvä tapa tukea matalan tuottavuuden henkilöiden työllistymistä, että se puree sekä kysyntä- että tarjontapuolen ongelmaan: (1) se alentaa työvoimakustannusta silloin kun työehtosopimus asettaa sille henkilön tuottavuuden nähden liian korkean tason ja (2) se sallii työnantajan maksaa kannattavuuden heikkenemättä korkeampaa palkkaa kuin muutoin ja siten parantaa työntekijän kannustinta ottaa työtä vastaan.

Ongelma matalapalkkatuessa on, että sovellettuna kaikkiin matalapalkkaisin tehtäviin se tulee kalliiksi. Tästä on kokemusta Ranskasta, jossa laajasti sovelletun tuen työllisyysvaikutukset on sinänsä arvioitu varsin suuriksi. Tätä ongelmaa voi helpottaa kohdistamalla tuki valikoidusti uusiin työpaikkoihin määräaikaisena. Tällaiiseen ratkaisuun voi taas liittyä ns. pyöröovi-ilmiö. Näytä lisääNäytä vähemmän",Profiili ja vastaukset
11,Jouko Vilmunen,Turun yliopisto/kauppakorkeakoulu,Eri mieltä,7,"Vaikutus on varmasti kiinni siitä, minkälaisessa tuki- ja tulonsiirtojärjestelmässä toimenpide toteutetaan.",Profiili ja vastaukset
11,Sami Vähämaa,Vaasan yliopisto,Ei mielipidettä,5,,Profiili ja vastaukset
11,Juuso Välimäki,Aalto yliopiston kauppakorkeakoulu,Samaa mieltä,8,"On helppo tapa, mutta ei kuitenkaan mielestäni suositeltava",Profiili ja vastaukset
11,Eva Österbacka,Åbo Akademi,Eri mieltä,7,,Profiili ja vastaukset
12,Tom Berglund,Hanken,Vahvasti eri mieltä,9,Riippuu luonnollisesti siitä miten erot syntyvät. Jos It-yrittäjä miljonäärien kautta niin lisää kasvua.,Profiili ja vastaukset
12,Petri Böckerman,Turun kauppakorkeakoulu / Palkansaajien tutkimuslaitos,Epävarma,6,,Profiili ja vastaukset
12,Essi Eerola,VATT,Epävarma,5,"Riippuu siitä, mikä tuloerojen kasvun aiheuttaa. Varmasti on mahdollista esimerkiksi, jos tuloerot kasvavat sen takia, että nykyistä suurempi osuus nuorista ikäluokista jää ilman laadukasta koulutusta.",Profiili ja vastaukset
12,Bengt Holmström,MIT,Eri mieltä,5,,Profiili ja vastaukset
12,Anni Huhtala,VATT,Epävarma,6,,Profiili ja vastaukset
12,Ari Hyytinen,Jyväskylän yliopiston kauppakorkeakoulu,Eri mieltä,6,,Profiili ja vastaukset
12,Esa Jokivuolle,Suomen Pankki,Ei mielipidettä,NA,,Profiili ja vastaukset
12,Juha Junttila,Jyvaskylan yliopisto,Vahvasti samaa mieltä,9,,Profiili ja vastaukset
12,John M. Juselius,Suomen Pankki,Eri mieltä,5,"I don’t think it would reduce economic growth, but it might decrease social cohesion and increase populism.",Profiili ja vastaukset
12,Markus Jäntti,Tukholman yliopisto,Epävarma,NA,"Tuloerojen ja talouskasvun välinen yhteys on alue, jossa tutkimustulokset menevät eri suuntiin. Suomi on yksi tapaus eikä kukaan pysty tutkimukseen tukeutuen tästä mitää kovin varmaa lausumaan.",Profiili ja vastaukset
12,Panu Kalmi,Vaasan yliopisto,Eri mieltä,NA,"Talouskasvu varmaan sinällään johtaa tuloerojen kasvuun. Suomessa kun on kansainvälisesti poikkeuksellisen matalat tuloerot, niin vaikea nähdä, että niiden kasvu johtaisi suurin ongelmiin ainakaan talouskasvun näkökulmasta.",Profiili ja vastaukset
12,Seppo Kari,VATT,Eri mieltä,NA,Ei välttämättä haittaa talouskasvua. Riippuu miten tuloerojen kasvu toteutuu ja mikä linkki sillä on esim. työllisyyden kehitykseen.,Profiili ja vastaukset
12,Karlo Kauko,Suomen Pankki,Epävarma,8,"Olennaisinta on, miksi ja miten tuloerot muuttuisivat. Tuloerojen kasvu voi nopeuttaa tai hidastaa talouskasvua, tapauksesta riippuen.",Profiili ja vastaukset
12,Jaakko Kiander,,Eri mieltä,7,Tuloerojen muutosten kasvuvaikukset ovat pieniä ja epävarmoja,Profiili ja vastaukset
12,Juha Kilponen,,Epävarma,10,,Profiili ja vastaukset
12,Iikka Korhonen,Suomen Pankki,Eri mieltä,6,Gini-kertoimen nousu vaikkapa nykyisestä 26:sta 28:aan ei vaikuttaisi kasvuun mitenkään.,Profiili ja vastaukset
12,Pekka J. Korhonen,,Eri mieltä,6,,Profiili ja vastaukset
12,Mika Kortelainen,Valtion taloudellinen tutkimuskeskus,Epävarma,NA,,Profiili ja vastaukset
12,Tuomas Kosonen,Palkansaajien tutkimuslaitos,Ei vastannut,NA,,Profiili ja vastaukset
12,Kaisa Kotakorpi,VATT; Turun yliopisto,Eri mieltä,NA,"Se että tuloerot olisivat aina hyvästä talouskasvun kannalta, ei ole yksiselitteistä, jos tuloerot ovat korkealla tasolla. Suomessa tuloerot ovat kuitenkin melko pienet.",Profiili ja vastaukset
12,Markku Kotilainen,Elinkeinoelämän tutkimuslaitos - Etla,Ei mielipidettä,8,Pieni muutos ei varmaan vaikuttaisi kasvuun sitä eikä tätä. Suuret regiimimuutokset vaikuttaisivat. Kuinka suurta muutosta kysyjä ajattelee? Suuressa muutoksessa lopputulos riippuu myös palapelin muista osasista. Pohjoismainen malli on osoittanut toimivuutensa pitkän aikavälin kasvussa. Näytä lisääNäytä vähemmän,Profiili ja vastaukset
12,Klaus Kultti,helsingin yliopisto,Eri mieltä,8,,Profiili ja vastaukset
12,Timo Kuosmanen,Aalto yliopiston kauppakorkeakoulu,Samaa mieltä,4,,Profiili ja vastaukset
12,Tomi Kyyrä,Valtion taloudellinen tutkimuskeskus,Vahvasti eri mieltä,9,,Profiili ja vastaukset
12,Marita Laukkanen,Valtion taloudellinen tutkimuskeskus,Eri mieltä,3,,Profiili ja vastaukset
12,Mika Maliranta,Etla / Jyväskylän yliopisto,Vahvasti eri mieltä,3,"Hyvin olennaista on, millaista tuloerojen kasvun lisääntyminen olisi ja mistä se johtuisi. Suomen tuloerot ovat tällä hetkellä niin pienet, etten usko että niiden kasvulla olisi merkittävää negatiivista vaikutusta, jos mahdollisuuksiein tasa-arvosta huolehditaan hyvillä julkisilla palveluilla.Näytä lisääNäytä vähemmän",Profiili ja vastaukset
12,Topi Miettinen,Svenska Handelshögskolan,Ei mielipidettä,NA,,Profiili ja vastaukset
12,Niku Määttänen,Etla,Epävarma,5,,Profiili ja vastaukset
12,Katariina Nilsson Hakkala,Aalto yliopisto/ ETLA,Eri mieltä,NA,"Tuloerot ovat hyvin pienet Suomessa, suuremmat tuloerot voisivat motivoida ihmisiä.",Profiili ja vastaukset
12,Elias Oikarinen,Aalto-yliopisto,Eri mieltä,7,,Profiili ja vastaukset
12,Tapio Palokangas,Helsingin yliopisto,Epävarma,NA,"Tuloerojen kasvu ei haittaa talouskasvua silloin, kun varakkaat sijoittavat varansa kotimaahan ja köyhemmilläkin on mahdollisuus kouluttautua. Muussa tapauksessa se voi haitata.",Profiili ja vastaukset
12,Tuomas Pekkarinen,VATT,Epävarma,NA,"Riippu ihan siitä, mistä tuloerojen kasvu johtuu.",Profiili ja vastaukset
12,Hannu Piekkola,Vaasan yliopisto,Vahvasti eri mieltä,7,"Tulonjakotutkimus ei tarkasstele juuri talouden kasvuvaikutuksia mikroaineistoilla, teoreettisesti keskituloisten kirein verotus lisää kannustavuutta ja työntekoa. Eli periaatteessa rajaverojen matalalla ja korkealla tulotasolla pitäisi olla alhaiset. Siis päinvastaista väitteelle. Näytä lisääNäytä vähemmän",Profiili ja vastaukset
12,Jukka Pirttilä,Tampereen yliopisto,Eri mieltä,NA,"Tuloeroilla ja kasvulla ei näytä olevan robustia yhteyttä. Pienet tuloerot eivät näytä keskimäärin haittaavan eikä parantavan kasvua,",Profiili ja vastaukset
12,Matti Pohjola,Aalto-yliopisto kauppakorkeakoulu,Epävarma,8,Tulonjaon ja talouskasvun välinen yhteys on tieteellisen tiedon valossa epäselvä.,Profiili ja vastaukset
